"business_key","start_date","end_date","locale_id","corporation_cd","business_cd","business_name","business_short_name","business_sort_key","mst_define_flag","medico_deal_flag","doctor_product_deal_flag","diagnostic_medicine_deal_flag","new_foods_deal_flag","oem_deal_flag","handling_product_deal_flag","dementias_deal_flag","generic_deal_flag","usa_and_euro_deal_flag","others_deal_flag","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"0001","01/01/1900 00:00:00","12/31/2999 00:00:00","ja","1000","11","エーザイジャパン","ＥＪ","1","1","0","1","1","0","0","0","0","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"0006","05/01/2018 00:00:00","12/31/2999 00:00:00","ja","1000","16","輸出","輸出","6","1","1","1","0","1","1","1","0","0","1","1",,"0","ips00026","05/30/2018 20:11:00","ips00026","05/30/2018 20:11:00"
"0009","07/01/2018 00:00:00","12/31/2999 00:00:00","ja","1000","17","ジェネ","ジェネ","9","1","0","0","0","0","0","0","0","1","0","0",,"0","ips00026","07/30/2018 00:00:00","ecl05958","09/11/2018 16:43:05"
"0004","11/01/2018 00:00:00","12/31/2999 00:00:00","ja","1000","14","ＡＰＩソリューション/受託","ＡＰＩ/受託","4","1","0","0","0","1","1","0","0","0","0","0",,"0","ips00026","11/22/2018 00:00:00","ips00026","11/22/2018 00:00:00"
"0010","11/01/2018 00:00:00","12/31/2999 00:00:00","ja","1000","18","ＯＥＭ内取海外","ＯＥＭ内取海外","10","1","0","0","0","0","1","0","0","0","0","0",,"0","ips00026","11/22/2018 00:00:00","ips00026","11/22/2018 00:00:00"
"0011","04/01/2020 00:00:00","12/31/2999 00:00:00","ja","1140","31","ＥＡ輸出売","ＥＡ輸出売","11","1","0","1","0","0","0","0","0","0","0","0","EA対応による追加","0","ips00006","04/28/2020 15:22:39","ips00006","11/22/2020 14:22:37"
"0012","04/01/2020 00:00:00","12/31/2999 00:00:00","ja","1140","32","ＥＡメーカー売・提携販売","ＥＡメーカー売・提携","12","1","0","1","0","0","0","0","0","0","0","0","EA対応による追加","0","ips00006","04/28/2020 15:24:04","ips00006","11/22/2020 14:23:49"
"0002","01/01/1900 00:00:00","12/31/2999 00:00:00","ja","1000","12","コンシューマーｈｈｃ","ＣＨ","2","1","1","0","0","0","0","0","0","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"0003","01/01/1900 00:00:00","12/31/2999 00:00:00","ja","1000","13","ＯＥＭ","ＯＥＭ","3","1","0","0","0","1","1","0","0","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"0004","01/01/1900 00:00:00","10/31/2018 00:00:00","ja","1000","14","ＡＰＩソリューション/受託","ＡＰＩ/受託","4","1","0","0","0","1","0","0","0","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","ips00026","11/22/2018 00:00:00"
"0005","01/01/1900 00:00:00","12/31/2999 00:00:00","ja","1000","15","ｈｈｃソリューション","ＨＳ","5","1","0","0","0","0","0","0","1","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"0006","01/01/1900 00:00:00","04/30/2018 00:00:00","ja","1000","16","輸出","輸出","6","1","1","1","0","1","0","1","0","0","1","1",,"0","eisai_init","11/06/2017 00:00:00","ips00026","05/30/2018 20:11:16"
"0007","01/01/1900 00:00:00","12/31/2999 00:00:00","ja","1030","20","エルメッドエーザイ","ＥＥ","7","1","0","1","0","0","0","0","0","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"0008","01/01/1900 00:00:00","12/31/2999 00:00:00","ja","1140","30","ＥＡファーマ","ＥＡ","8","1","0","1","0","0","0","0","0","0","0","0",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
